Sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60, 
OTU45,0.018377088,0.018708355,0.015811456,0.005783866,0.016660469,0.001354751,0,0,0.001718029,0.001809496,0.001853659,0.002098128,0.002348736,0.002797203,0.002140182,0.004056098,0.005964286,0.056642636,0,0.004343468,0.059253247,0.007175807,0.020227135,0.012545395,0.075408137,0.041945223,0.021589004,0.021907216,0,0.023717702,0.044237716,0.014756517,0,0.019059903,0.010308701,0.026132156,0.006755937,0,0,0.000995141,0,0,0.000724165,0.000358269,0.006031953,0.047292758,0,0.002036199,0.002628812,0.007831822,0.004057428,0,0.05922865,0.00672,0.021086742,0.012360939,0.0245142,0.030414263,0.053191489,0.003309204,
OTU46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006867156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OTU47,0.054176611,0.01537673,0.088454654,0.136377473,0.040014875,0.002709503,0.025217975,0.031452991,0.062493289,0.0287348,0.041463415,0.044786959,0.036354353,0.003021978,0.073568753,0.061460195,0.02375,0.090628218,0.043258168,0.026060809,0.049512987,0.005638134,0.126805994,0.065037966,0.07385333,0.067177054,0.04492122,0.044136598,0.032211883,0.055148477,0.157850463,0.089891786,0.065217391,0.273144167,0.169533307,0.23853603,0.003236377,0.002724332,0.008524745,0.005619622,0.001720363,0.000893921,0.001158665,0.004979937,0.029507662,0.125621389,0.008506616,0.016289593,0.01787592,0.030502885,0.041822722,0.015461763,0.053719008,0.01712,0.020288358,0.017923362,0.043348281,0.02045097,0.024976873,0.033298862,
OTU48,0,0,0,0,0,0,0,0,0,0.00021714,0,0,0,0.0001998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OTU49,0,0,0.001640811,0,0.007586463,0.002580479,0.001341382,0.004102564,0.001395898,0.003184713,0.002829268,0.002017431,0.000816952,0.005669331,0,0,0,0,0,0,0,0.004613019,0.001444795,0.002971278,0,0,0.006637613,0,0.006800286,0.005784805,0.001336038,0.0038121,0,0.004442534,0.005938708,0.003133011,0.008252761,0,0,0,0,0,0.001303498,0.000609057,0,0.002015316,0,0.001357466,0,0.005770816,0,0,0.008953168,0.00464,0.002911755,0,0.002690583,0,0,0.007032058,
OTU50,0.008114558,0.009482317,0.012082339,0,0.014726664,0.003419134,0.012206573,0.065299145,0.0180393,0.060871453,0.014926829,0.04535184,0.074853204,0.058466533,0.00882825,0.013680737,0.003857143,0.03707518,0.006442706,0.011025727,0,0.016914403,0.017270345,0.034004622,0.025654315,0.011968945,0.013923343,0.010309278,0.023264137,0.042036251,0.024840418,0.009345794,0.020186335,0.002006306,0.032270715,0.017445172,0.015939156,0.005618934,0.00781435,0.010127027,0,0.010876043,0.008979651,0.010748065,0.025432018,0.009539164,0.007561437,0.015384615,0.011303891,0.028854081,0.032459426,0.033012954,0.028236915,0.02576,0.009956324,0.009023486,0.012855007,0.041164132,0.049491212,0.030610134,
OTU51,0,0,0,0,0,0,0,0,0,0,0,0,0.000663773,0.000374625,0,0,0,0,0,0,0,0,0.001007997,0,0,0,0.000156442,0,0,0,0,0,0,0,0,0.000498433,0.000525911,0,0,0,0,0,0,0.000537403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OTU52,0.006205251,0,0.033412888,0,0.017850502,0.00425779,0.00295104,0.037094017,0.004617202,0.042414592,0.031804878,0.064961265,0.004084759,0.026648352,0,0.00240616,0.002535714,0.019567456,0,0.017039759,0.019480519,0.043567401,0.024326322,0.000990426,0.020730759,0.021889152,0.040227958,0,0.009305655,0.006748939,0.009352269,0.011067388,0.014492754,0.01103468,0.043699927,0.005411564,0.041385169,0.046143368,0.017759886,0.058069426,0.01016578,0.046036949,0.098341661,0.135318143,0.014672318,0.043799543,0.005198488,0.005429864,0.016035752,0.018961253,0.020911361,0.010447137,0.023415978,0.0024,0.036115155,0.002595797,0.007174888,0.01494494,0.00693802,0.019441572,
OTU53,0.006921241,0.00435674,0.002684964,0.001826484,0.003049461,0.002193407,0.002146211,0.005470085,0.007516375,0.03857846,0.008780488,0.015493867,0.029818739,0.011938062,0,0.003368624,0.002464286,0.005149331,0,0.004677581,0,0,0.008299173,0.006602839,0.017362011,0.007655812,0.00965471,0,0.001789549,0.006170459,0.008412094,0.004058042,0.011387164,0.005732302,0.028853157,0.006266021,0.011610502,0,0,0.00333665,0.003597122,0.002234803,0.003186328,0.002113786,0.030811868,0.011957544,0,0,0.002365931,0.01772465,0,0.006686168,0.008264463,0.00624,0.008312591,0.006427689,0.005381166,0.00681699,0.00693802,0.01778697,
OTU54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000134093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
